,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
108,HEC Paris,COURSE,4.5,6.0,0.5
109,University of Pennsylvania,SPECIALIZATION,4.6,28.0,0.0
110,Arizona State University,SPECIALIZATION,4.7,3.0,1.0
111,University of Washington,SPECIALIZATION,4.7,12.0,1.0
112,University of Washington,COURSE,4.7,7.0,1.0
113,University of Pennsylvania,SPECIALIZATION,4.7,51.0,0.0
114,HEC Paris,COURSE,4.7,1.0,0.5
115,Rice University,SPECIALIZATION,4.7,11.0,0.0
116,University of Pennsylvania,SPECIALIZATION,4.7,2.0,0.0
117,University of Virginia,SPECIALIZATION,4.7,8.0,0.0
118,Indian School of Business,SPECIALIZATION,4.5,6.0,0.0
119,Google Cloud,COURSE,4.7,1.0,0.0
120,University of Colorado Boulder,COURSE,4.8,4.0,0.0
121,University of Pennsylvania,SPECIALIZATION,4.5,16.0,0.0
122,"University of California, Santa Cruz",COURSE,4.5,3.0,0.0
123,University of Colorado System,SPECIALIZATION,4.7,3.0,0.0
124,Johns Hopkins University,COURSE,4.9,22.0,0.0
125,Osmosis,COURSE,4.8,3.0,0.0
126,Michigan State University,COURSE,4.7,13.0,0.5
127,Pontificia Universidad Católica de Chile,COURSE,4.7,34.0,0.0
128,University of Michigan,COURSE,4.6,8.0,0.5
129,"University of California, Irvine",SPECIALIZATION,4.4,79.0,0.0
130,University of Lausanne,COURSE,4.8,3.0,0.0
131,Johns Hopkins University,COURSE,4.7,2.0,0.0
132,The University of Edinburgh,COURSE,4.7,1.0,0.5
133,Stanford University,COURSE,4.7,3.0,0.0
134,Peking University,COURSE,4.8,2.0,0.0
135,Cisco,SPECIALIZATION,4.7,5.0,0.0
136,University of Amsterdam,COURSE,4.8,5.0,0.5
137,IESE Business School,SPECIALIZATION,4.8,5.0,0.0
138,Yale University,SPECIALIZATION,4.6,4.0,0.0
139,University of Pittsburgh,COURSE,4.8,3.0,0.0
140,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,11.0,1.0
141,LearnQuest,COURSE,4.5,3.0,0.0
142,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,31.0,1.0
143,"University of California, Davis",SPECIALIZATION,4.7,3.0,1.0
144,The University of Edinburgh,COURSE,4.7,12.0,0.0
145,Rice University,SPECIALIZATION,4.7,1.0,0.0
146,University of Toronto,COURSE,4.8,4.0,0.0
147,University of Colorado Boulder,COURSE,4.9,6.0,0.0
148,Universitat Autònoma de Barcelona,COURSE,4.7,4.0,0.0
149,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,35.0,1.0
150,"University of California, Davis",SPECIALIZATION,4.6,5.0,0.0
151,University of Pennsylvania,COURSE,4.8,3.0,0.0
152,University of Colorado System,SPECIALIZATION,4.6,2.0,0.0
153,"University of California, Irvine",SPECIALIZATION,4.3,6.0,0.0
154,Columbia University,COURSE,4.7,1.0,0.0
155,Columbia University,SPECIALIZATION,4.7,6.0,0.0
156,Columbia University,COURSE,4.8,4.0,0.0
157,Columbia University,COURSE,4.8,1.0,0.0
158,Universidad Nacional Autónoma de México,COURSE,4.7,22.0,0.0
159,Northwestern University,SPECIALIZATION,4.5,2.0,0.0
160,University of Virginia,COURSE,4.6,2.0,0.0
161,Georgia Institute of Technology,COURSE,4.8,4.0,0.5
162,deeplearning.ai,COURSE,4.9,24.0,1.0
