,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
457,Yonsei University,SPECIALIZATION,4.6,2.0,0.0
458,University of Geneva,COURSE,4.8,2.0,0.0
459,Erasmus University Rotterdam,COURSE,4.5,2.0,0.0
460,Stanford University,COURSE,4.9,3.0,0.0
461,Sciences Po,COURSE,4.6,1.0,0.0
462,Cisco,COURSE,4.7,3.0,0.0
463,The University of Chicago,COURSE,4.8,3.0,0.5
464,"University of Maryland, College Park",SPECIALIZATION,4.6,6.0,1.0
465,Universidad Nacional Autónoma de México,COURSE,4.7,14.0,0.0
466,Pontificia Universidad Católica de Chile,COURSE,4.4,10.0,0.0
467,University of Geneva,COURSE,4.8,4.0,0.5
468,Berklee College of Music,COURSE,4.8,6.0,0.5
469,IBM,COURSE,4.7,4.0,0.0
470,University of California San Diego,COURSE,4.6,16.0,0.5
471,INSEAD,COURSE,4.7,1.0,0.0
472,Yale University,COURSE,4.9,2.0,0.5
473,University of Illinois at Urbana-Champaign,COURSE,4.7,1.0,1.0
474,University of Michigan,COURSE,4.8,8.0,0.5
475,The University of Sydney,COURSE,4.8,5.0,1.0
476,Duke University,COURSE,4.8,4.0,0.0
477,Yale University,COURSE,4.9,15.0,0.5
478,IBM,COURSE,4.6,2.0,0.0
479,"Goldsmiths, University of London",COURSE,4.3,2.0,0.0
480,"Goldsmiths, University of London",SPECIALIZATION,4.3,3.0,0.0
481,University of Pennsylvania,COURSE,4.6,13.0,0.5
482,New York University,COURSE,4.7,2.0,0.0
483,New York University,SPECIALIZATION,4.7,3.0,0.0
484,IBM,COURSE,4.5,3.0,0.0
485,Rice University,COURSE,4.7,9.0,0.5
486,IBM,SPECIALIZATION,4.6,31.0,0.0
487,University of Michigan,COURSE,4.5,39.0,1.0
488,University of Pennsylvania,COURSE,4.8,2.0,0.0
489,National Research University Higher School of Economics,SPECIALIZATION,4.4,7.0,0.0
490,Georgia Institute of Technology,COURSE,4.7,11.0,0.5
491,University of Colorado Boulder,COURSE,4.5,4.0,1.0
492,Georgia Institute of Technology,COURSE,4.7,15.0,0.5
493,The University of North Carolina at Chapel Hill,COURSE,4.8,3.0,0.5
494,University of Pennsylvania,COURSE,4.7,20.0,0.5
495,"Nanyang Technological University, Singapore",COURSE,4.9,4.0,0.5
496,Michigan State University,COURSE,4.8,7.0,0.5
497,Duke University,COURSE,4.8,7.0,0.5
498,Johns Hopkins University,COURSE,4.6,4.0,0.5
499,University of Michigan,COURSE,4.7,22.0,0.5
500,California Institute of the Arts,COURSE,4.5,5.0,0.0
501,University of Pennsylvania,COURSE,4.8,7.511918274687854,0.0
502,Case Western Reserve University,COURSE,4.8,8.0,0.5
503,University of Pennsylvania,COURSE,4.8,22.0,0.5
504,Stanford University,COURSE,4.8,27.0,1.0
505,University of Pennsylvania,COURSE,4.5,8.0,0.5
506,University of Virginia,COURSE,4.4,14.0,0.0
507,The University of Edinburgh,COURSE,4.6,37.0,0.5
508,EDHEC Business School,COURSE,4.8,1.0,0.5
509,Duke University,COURSE,4.7,16.0,0.0
510,Duke University,SPECIALIZATION,4.7,8.0,0.0
511,Vanderbilt University,COURSE,4.8,27.0,0.0
512,Yale University,COURSE,4.9,27.0,0.0
513,Rice University,SPECIALIZATION,4.7,4.0,0.0
514,University of Toronto,COURSE,4.8,3.0,2.0
515,University of Pennsylvania,COURSE,4.2,7.0,0.5
516,Imperial College London,COURSE,4.7,1.0,0.0
517,University of Illinois at Urbana-Champaign,COURSE,4.8,6.0,0.5
518,Johns Hopkins University,COURSE,4.8,6.0,0.5
519,UNSW Sydney (The University of New South Wales),COURSE,4.7,3.0,0.5
520,deeplearning.ai,COURSE,4.7,15.0,1.0
521,University of Michigan,COURSE,4.8,4.0,0.0
522,New York Institute of Finance,COURSE,4.0,1.0,1.0
523,California Institute of the Arts,COURSE,4.8,7.0,0.0
524,Georgia Institute of Technology,COURSE,4.5,8.0,0.0
525,University of Michigan,COURSE,4.8,1.0,0.0
526,"University of California, Davis",COURSE,4.7,7.0,0.0
527,Johns Hopkins University,COURSE,4.8,11.0,0.0
528,Duke University,COURSE,4.7,27.0,0.5
529,Universidade de São Paulo,SPECIALIZATION,4.9,4.0,0.0
530,Universidade de São Paulo,COURSE,4.9,12.0,0.0
531,University of Geneva,SPECIALIZATION,4.7,9.0,0.0
532,EDHEC Business School,SPECIALIZATION,4.6,1.0,0.0
533,Rice University,SPECIALIZATION,4.5,4.0,0.0
534,Saint Petersburg State University,COURSE,4.6,4.0,0.0
535,Duke University,SPECIALIZATION,4.6,38.0,0.0
536,Duke University,COURSE,4.6,16.0,0.0
537,University of Cape Town,COURSE,4.5,2.0,0.0
538,JetBrains,COURSE,4.7,3.0,1.0
539,ESSEC Business School,COURSE,4.7,7.511918274687854,0.0
540,ESSEC Business School,SPECIALIZATION,4.6,6.0,0.0
541,Rice University,SPECIALIZATION,4.7,1.0,0.0
542,Copenhagen Business School,COURSE,4.7,3.0,0.5
543,The George Washington University,COURSE,4.8,1.0,0.0
544,University of Michigan,SPECIALIZATION,4.7,22.0,0.0
545,University of Michigan,COURSE,4.7,5.0,1.0
546,Macquarie University,SPECIALIZATION,4.8,1.0,1.0
547,Peking University,SPECIALIZATION,4.8,4.0,0.0
548,Tsinghua University,SPECIALIZATION,4.3,2.0,0.0
549,"University of California, Irvine",SPECIALIZATION,4.5,7.0,1.0
550,"University of California, Irvine",SPECIALIZATION,4.8,5.0,2.0
551,"University of California, Irvine",SPECIALIZATION,4.7,12.0,1.0
552,Shanghai Jiao Tong University,SPECIALIZATION,4.8,3.0,0.0
553,"University of California, Davis",SPECIALIZATION,4.6,16.0,0.0
554,"University of California, Davis",SPECIALIZATION,4.6,8.0,0.0
555,University of Toronto,COURSE,4.8,18.0,0.0
556,Yonsei University,COURSE,4.9,12.0,0.0
557,UNSW Sydney (The University of New South Wales),COURSE,4.7,6.0,0.0
558,IE Business School,COURSE,4.5,7.0,1.0
559,ESSEC Business School,COURSE,4.7,1.0,0.0
560,Universidad de los Andes,SPECIALIZATION,4.8,2.0,1.0
561,Georgia Institute of Technology,COURSE,4.6,2.0,0.5
562,Stanford University,COURSE,4.7,1.0,0.0
563,University of Washington,SPECIALIZATION,4.6,29.0,1.0
564,Stanford University,COURSE,4.9,3.0,0.5
565,University of Washington,COURSE,4.6,24.0,0.5
566,New York University,SPECIALIZATION,3.7,2.0,1.0
567,University of London,COURSE,4.6,1.0,0.0
568,Google Cloud,COURSE,4.6,5.0,1.0
569,Google Cloud,SPECIALIZATION,3.9,1.0,1.0
570,IBM,COURSE,4.7,12.0,1.0
571,Google Cloud,SPECIALIZATION,4.5,7.0,1.0
572,Universitat de Barcelona,COURSE,4.6,7.0,0.0
573,IE School of Architecture & Design,COURSE,4.7,4.0,0.0
574,Università Bocconi,COURSE,4.7,12.0,0.5
575,University of Virginia,COURSE,4.9,1.0,0.0
576,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,5.0,0.0
577,HEC Paris,SPECIALIZATION,4.7,2.0,0.0
578,"University of California, Irvine",COURSE,4.7,7.0,0.5
579,University of Pennsylvania,COURSE,4.5,2.0,0.0
580,University of Toronto,COURSE,4.6,4.0,0.0
581,"University of California, Davis",SPECIALIZATION,4.5,2.0,0.0
582,Universidade de São Paulo,COURSE,4.8,8.0,0.0
583,Universidad Austral,SPECIALIZATION,4.7,3.0,0.0
584,Universidad de Chile,COURSE,4.7,4.0,1.0
585,IE Business School,SPECIALIZATION,4.6,9.0,0.0
586,IE Business School,SPECIALIZATION,4.4,5.0,0.0
587,Universidad de los Andes,COURSE,4.8,5.0,0.5
588,Tecnológico de Monterrey,SPECIALIZATION,4.4,6.0,1.0
589,University of Illinois at Urbana-Champaign,COURSE,4.7,31.0,0.0
590,Duke University,COURSE,4.2,28.0,0.5
591,LearnQuest,COURSE,4.6,8.0,0.0
592,Johns Hopkins University,SPECIALIZATION,4.3,5.0,0.0
593,"University of California, Davis",COURSE,4.7,4.0,0.5
594,National Research University Higher School of Economics,SPECIALIZATION,4.5,1.0,0.0
595,Imperial College London,SPECIALIZATION,4.6,15.0,0.0
596,Imperial College London,COURSE,4.7,14.0,0.0
597,Imperial College London,COURSE,4.7,5.0,0.0
598,Imperial College London,COURSE,4.0,3.0,1.0
599,University of Colorado Boulder,SPECIALIZATION,4.8,4.0,0.0
600,Duke University,COURSE,4.9,17.0,2.0
601,Wesleyan University,SPECIALIZATION,4.3,1.0,0.0
602,University of Amsterdam,SPECIALIZATION,4.6,26.0,0.0
603,University of Illinois at Urbana-Champaign,COURSE,4.9,7.0,0.0
604,University of Pennsylvania,COURSE,4.7,3.0,0.5
605,McMaster University,COURSE,4.8,23.0,0.0
606,Universiteit Leiden,COURSE,4.7,12.0,0.0
607,University of Michigan,COURSE,4.8,13.0,0.5
608,University of Pennsylvania,COURSE,4.6,3.0,0.5
609,The Museum of Modern Art,COURSE,4.7,31.0,0.0
610,Cloudera,SPECIALIZATION,4.8,1.0,0.0
611,Northwestern University,SPECIALIZATION,4.7,2.0,1.0
612,Google Cloud,COURSE,4.7,9.0,1.0
613,Yale University,COURSE,4.8,10.0,0.5
614,University of Pennsylvania,COURSE,4.9,4.0,0.5
615,University of Alberta,COURSE,4.9,4.0,0.5
616,École Polytechnique Fédérale de Lausanne,COURSE,4.8,5.0,1.0
617,Berklee College of Music,SPECIALIZATION,4.8,4.0,0.0
618,Berklee College of Music,COURSE,4.9,3.0,0.5
619,Berklee College of Music,SPECIALIZATION,4.8,7.0,0.0
620,Duke University,COURSE,4.8,2.0,0.5
621,deeplearning.ai,COURSE,4.6,4.0,1.0
622,University of Michigan,COURSE,4.8,9.0,0.5
623,ESSEC Business School,SPECIALIZATION,4.7,2.0,0.0
624,VMware,COURSE,4.8,1.0,1.0
625,Google Cloud,SPECIALIZATION,4.7,29.0,1.0
626,deeplearning.ai,COURSE,4.9,63.0,1.0
627,Saint Petersburg State University,COURSE,4.7,4.0,0.5
628,"University of Maryland, College Park",COURSE,4.7,1.0,0.0
629,University of Colorado System,SPECIALIZATION,4.8,5.0,0.0
630,Universidad Nacional Autónoma de México,COURSE,4.8,10.0,0.0
631,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,3.0,1.0
632,University of California San Diego,SPECIALIZATION,4.7,25.0,1.0
633,Duke University,SPECIALIZATION,4.6,33.0,0.0
634,University of Illinois at Urbana-Champaign,COURSE,4.7,2.0,1.0
635,University of Alberta,COURSE,4.7,3.0,1.0
636,Duke University,COURSE,4.8,5.0,0.5
637,The Linux Foundation,SPECIALIZATION,4.4,1.0,0.0
638,Google,COURSE,4.6,7.0,0.0
639,University of Pennsylvania,COURSE,4.7,8.0,0.5
640,University of Colorado Boulder,SPECIALIZATION,4.2,6.0,2.0
641,Northwestern University,SPECIALIZATION,4.7,9.0,1.0
642,Universiteit Leiden,COURSE,4.7,2.0,0.0
643,University of Colorado System,SPECIALIZATION,4.8,3.0,0.0
644,Palo Alto Networks,SPECIALIZATION,4.6,9.0,0.0
645,Rice University,SPECIALIZATION,4.5,3.0,1.0
646,University of Geneva,COURSE,4.5,4.0,0.5
647,Johns Hopkins University,SPECIALIZATION,4.8,8.0,0.0
648,Universitat Autònoma de Barcelona,COURSE,4.6,1.0,0.0
649,University of Pennsylvania,COURSE,4.5,8.0,0.5
650,"University of California, Irvine",COURSE,4.7,7.0,1.0
651,Universidad Nacional Autónoma de México,COURSE,4.9,8.0,0.0
652,Michigan State University,SPECIALIZATION,4.7,16.0,0.0
653,University of Toronto,SPECIALIZATION,4.7,8.0,0.0
654,Sciences Po,COURSE,4.7,3.0,0.0
655,The University of Sydney,COURSE,4.8,7.0,0.5
656,The University of North Carolina at Chapel Hill,COURSE,4.7,18.0,0.5
657,University of Pennsylvania,COURSE,4.8,2.0,0.0
658,University of Pennsylvania,COURSE,4.8,5.0,0.0
659,University of Pennsylvania,COURSE,4.6,4.0,0.0
660,University of Colorado Boulder,SPECIALIZATION,4.8,6.0,1.0
661,MathWorks,SPECIALIZATION,4.7,1.0,0.0
662,The State University of New York,COURSE,4.6,3.0,1.0
663,Google Cloud,COURSE,4.7,2.0,0.0
664,University of Minnesota,COURSE,4.8,6.0,0.5
665,E-Learning Development Fund,SPECIALIZATION,4.6,4.0,0.0
666,BCG,SPECIALIZATION,4.8,2.0,0.0
667,Universitat Autònoma de Barcelona,COURSE,4.8,28.0,0.5
668,Università Bocconi,COURSE,4.8,7.0,0.5
669,Stanford University,COURSE,4.7,6.0,2.0
670,University of London,COURSE,4.6,3.0,0.0
671,Eindhoven University of Technology,COURSE,4.8,3.0,1.0
672,Duke University,COURSE,4.6,25.0,0.0
673,Duke University,COURSE,4.7,1.0,0.0
674,University of Michigan,COURSE,4.8,1.0,0.5
675,"University of California, Irvine",SPECIALIZATION,4.6,1.0,1.0
676,"University of California, Irvine",COURSE,4.2,7.0,0.0
677,"University of California, Irvine",COURSE,4.7,19.0,0.0
678,"University of California, Irvine",SPECIALIZATION,4.6,44.0,0.0
679,"University of California, Irvine",SPECIALIZATION,4.7,23.0,0.0
680,Johns Hopkins University,COURSE,4.8,19.0,0.5
681,University of Virginia,COURSE,4.6,5.0,0.0
682,University of Michigan,COURSE,4.8,11.0,0.0
683,University of Michigan,COURSE,4.7,2.0,1.0
684,University of Michigan,COURSE,4.9,42.0,0.5
685,University of Michigan,COURSE,4.8,2.0,0.0
686,The Hong Kong University of Science and Technology,COURSE,4.4,4.0,1.0
687,IBM,COURSE,4.6,17.0,0.0
688,University of Michigan,SPECIALIZATION,4.8,1.0,0.0
689,University of Amsterdam,COURSE,4.7,6.0,0.5
690,University of Colorado System,COURSE,4.9,7.511918274687854,0.0
691,Johns Hopkins University,COURSE,4.6,48.0,1.0
692,Institute for the Future,COURSE,4.8,7.0,0.0
693,University of Minnesota,SPECIALIZATION,4.3,2.0,1.0
694,University of Minnesota,COURSE,4.7,3.0,0.5
695,University of Alberta,SPECIALIZATION,4.7,2.0,1.0
696,Duke University,COURSE,4.7,2.0,0.0
697,ESSEC Business School,COURSE,4.7,5.0,0.0
698,University of Colorado System,SPECIALIZATION,4.6,7.0,0.0
699,The University of Edinburgh,COURSE,4.6,1.0,0.5
700,University of Minnesota,COURSE,4.8,1.0,0.5
701,"Goldsmiths, University of London",SPECIALIZATION,4.5,17.0,0.0
702,Universiteit Leiden,COURSE,4.9,3.0,0.5
703,Universidade Estadual de Campinas,COURSE,4.9,1.0,1.0
704,University of Pennsylvania,SPECIALIZATION,4.4,12.0,0.0
705,Yale University,COURSE,4.9,3.0,0.0
706,Saint Petersburg State University,COURSE,4.7,3.0,0.0
707,Saint Petersburg State University,SPECIALIZATION,4.7,7.511918274687854,0.0
708,ESSEC Business School,COURSE,4.5,3.0,0.5
709,SAS,PROFESSIONAL CERTIFICATE,4.8,37.0,0.0
710,SAS,PROFESSIONAL CERTIFICATE,4.6,2.0,0.0
711,"University of California, Davis",COURSE,4.6,16.0,0.0
712,West Virginia University,SPECIALIZATION,4.4,5.0,0.0
713,HubSpot Academy,SPECIALIZATION,4.7,1.0,0.0
714,University of Alberta,COURSE,4.8,6.0,1.0
715,Northwestern University,COURSE,4.5,1.0,0.5
716,University of Colorado System,SPECIALIZATION,4.8,9.0,0.0
717,University of Colorado Boulder,COURSE,4.8,14.0,0.0
718,"University of California, Davis",COURSE,4.7,4.0,0.5
719,"University of California, Davis",SPECIALIZATION,4.4,6.0,1.0
720,Universiteit Leiden,COURSE,4.7,1.0,0.0
721,Google Cloud,SPECIALIZATION,4.7,30.0,1.0
722,University of Toronto,SPECIALIZATION,4.7,3.0,2.0
723,deeplearning.ai,COURSE,4.8,1.0,1.0
724,Universidad de los Andes,COURSE,4.8,11.0,0.0
725,California Institute of the Arts,COURSE,4.7,6.0,0.0
726,Google Cloud,COURSE,4.5,1.0,2.0
727,University System of Georgia,SPECIALIZATION,4.7,1.0,1.0
728,University System of Georgia,COURSE,4.7,1.0,1.0
729,University of Michigan,COURSE,4.8,2.0,0.0
730,École Polytechnique Fédérale de Lausanne,COURSE,4.6,2.0,0.0
731,Copenhagen Business School,SPECIALIZATION,4.6,1.0,0.0
732,Northwestern University,SPECIALIZATION,4.6,13.0,0.0
733,University of Pennsylvania,COURSE,4.6,7.0,0.0
734,Columbia University,SPECIALIZATION,4.8,4.0,0.0
735,Wesleyan University,COURSE,4.7,22.0,0.0
736,Stanford University,COURSE,4.8,4.0,2.0
737,University of Alberta,SPECIALIZATION,4.6,6.0,0.0
738,University of Minnesota,SPECIALIZATION,4.6,3.0,1.0
739,University of Alberta,COURSE,4.7,6.0,0.5
740,University of Alberta,SPECIALIZATION,4.6,11.0,0.0
741,The State University of New York,COURSE,4.8,1.0,0.0
742,Berklee College of Music,COURSE,4.8,6.0,0.0
743,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,8.0,0.0
744,University of Colorado Boulder,SPECIALIZATION,4.8,1.0,2.0
745,"University of California, Davis",COURSE,4.6,7.0,0.0
746,Georgia Institute of Technology,COURSE,4.6,43.0,0.5
747,Northwestern University,COURSE,4.7,1.0,1.0
748,Duke University,COURSE,4.8,1.0,0.5
749,Stanford University,COURSE,4.7,37.0,0.0
750,Stanford University,COURSE,4.7,1.0,0.0
751,Imperial College London,SPECIALIZATION,4.7,1.0,0.0
752,University of Michigan,SPECIALIZATION,4.6,3.0,0.0
753,Duke University,SPECIALIZATION,4.7,22.0,0.0
754,Stanford University,COURSE,4.9,2.0,1.0
755,ESSEC Business School,SPECIALIZATION,4.3,6.0,2.0
756,"University of California, Irvine",COURSE,4.7,9.0,0.0
757,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,10.0,0.0
758,Copenhagen Business School,COURSE,4.7,5.0,0.5
759,Copenhagen Business School,SPECIALIZATION,4.7,6.0,0.0
760,Fundação Instituto de Administração,SPECIALIZATION,4.5,9.0,1.0
761,Macquarie University,SPECIALIZATION,4.8,3.0,1.0
762,IESE Business School,COURSE,4.6,1.0,0.0
763,deeplearning.ai,COURSE,4.8,22.0,0.0
764,University of Pennsylvania,COURSE,4.8,3.0,0.0
765,University of Michigan,COURSE,4.8,75.0,0.5
766,Johns Hopkins University,COURSE,4.8,1.0,0.0
767,Rutgers the State University of New Jersey,COURSE,4.7,7.0,0.0
768,New York Institute of Finance,SPECIALIZATION,4.6,4.0,1.0
769,Rutgers the State University of New Jersey,COURSE,4.7,6.0,0.0
770,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,8.0,0.0
771,Rutgers the State University of New Jersey,COURSE,4.8,2.0,0.0
772,Georgia Institute of Technology,COURSE,4.6,2.0,0.5
773,UCL Institute of Education,COURSE,4.8,5.0,0.5
774,"University of Maryland, College Park",SPECIALIZATION,4.3,4.0,0.0
775,University of Copenhagen,COURSE,4.6,9.0,0.0
776,LearnQuest,SPECIALIZATION,4.5,3.0,0.0
777,Google,COURSE,4.7,6.0,0.0
778,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,4.0,1.0
779,Johns Hopkins University,COURSE,4.9,3.0,0.5
780,Arizona State University,SPECIALIZATION,4.9,10.0,0.0
781,Arizona State University,SPECIALIZATION,4.9,6.0,0.0
782,Arizona State University,COURSE,4.9,8.0,0.5
783,Arizona State University,COURSE,4.4,8.0,1.0
784,Relay Graduate School of Education,COURSE,4.8,5.0,0.5
785,University of Colorado Boulder,COURSE,4.8,4.0,0.0
786,Google,COURSE,4.8,28.0,0.0
787,deeplearning.ai,SPECIALIZATION,4.7,17.0,1.0
788,deeplearning.ai,SPECIALIZATION,4.5,1.0,1.0
789,Universiteit Leiden,COURSE,4.8,9.0,0.0
790,Emory University,COURSE,4.6,13.0,0.0
791,Berklee College of Music,COURSE,4.8,4.0,1.0
792,Northwestern University,SPECIALIZATION,4.7,2.0,0.0
793,University of Toronto,COURSE,4.5,7.0,0.0
794,Google,COURSE,4.7,13.0,0.0
795,University of Pennsylvania,SPECIALIZATION,4.6,2.0,0.0
796,Berklee College of Music,SPECIALIZATION,4.8,8.0,0.0
797,Universiteit Leiden,COURSE,4.7,2.0,1.0
798,"University of Maryland, College Park",COURSE,4.8,1.0,0.0
799,Berklee College of Music,SPECIALIZATION,4.8,12.0,0.0
800,Johns Hopkins University,COURSE,4.6,42.0,0.5
801,University of Pennsylvania,COURSE,4.8,7.0,0.5
802,Yale University,COURSE,4.8,8.0,0.5
803,University of Florida,COURSE,4.9,2.0,0.5
804,"Birkbeck, University of London",COURSE,4.6,4.0,0.5
805,University of Virginia,COURSE,4.8,13.0,0.0
806,University of Virginia,COURSE,4.8,4.0,0.0
807,University of Pennsylvania,COURSE,4.9,9.0,1.0
808,"University of California, Irvine",COURSE,4.6,18.0,0.5
809,"University of California, Irvine",COURSE,4.7,12.0,0.5
810,"University of California, Irvine",SPECIALIZATION,4.6,1.0,0.0
811,The Hong Kong University of Science and Technology,COURSE,4.6,5.0,0.5
812,American Museum of Natural History,COURSE,4.7,1.0,1.0
813,University of Michigan,COURSE,4.8,5.0,0.0
814,University of Florida,COURSE,4.9,1.0,0.0
815,Yale University,COURSE,4.9,2.0,0.5
816,Berklee College of Music,SPECIALIZATION,4.8,32.0,0.0
817,University of Toronto,COURSE,4.6,1.0,0.5
818,"University of California, Davis",COURSE,4.5,10.0,1.0
819,University of Copenhagen,COURSE,4.8,2.0,0.0
820,University of Colorado Boulder,SPECIALIZATION,4.7,5.0,0.0
821,Berklee College of Music,COURSE,4.8,2.0,0.0
822,The University of Edinburgh,COURSE,4.7,3.0,0.5
823,École des Ponts ParisTech,COURSE,4.7,1.0,0.0
824,Duke University,COURSE,4.6,20.0,0.0
825,IBM,COURSE,4.6,12.0,0.0
826,Indian School of Business,SPECIALIZATION,4.3,6.0,0.0
827,UNSW Sydney (The University of New South Wales),COURSE,4.8,4.0,0.5
828,"University of California, Irvine",COURSE,4.7,11.0,0.0
829,University of Geneva,COURSE,4.9,5.0,1.0
830,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,1.0,1.0
831,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,4.0,0.0
832,California Institute of the Arts,SPECIALIZATION,4.7,6.0,0.0
833,California Institute of the Arts,COURSE,4.8,2.0,0.0
834,Johns Hopkins University,COURSE,4.8,2.0,0.0
835,University of Cape Town,COURSE,4.8,7.0,0.5
836,Stanford University,COURSE,4.9,8.0,0.0
837,Yale University,COURSE,4.8,2.0,0.0
838,American Institute of Business and Economics,SPECIALIZATION,4.4,1.0,1.0
839,Tel Aviv University,COURSE,4.8,4.0,0.0
840,SOAS University of London,COURSE,4.5,12.0,0.5
841,University of Michigan,COURSE,4.7,3.0,0.0
842,The University of Chicago,COURSE,4.9,13.0,0.0
843,Unity,SPECIALIZATION,4.5,6.0,1.0
844,Unity,SPECIALIZATION,4.2,1.0,0.0
845,The University of Hong Kong,COURSE,4.8,9.0,0.0
846,University of Amsterdam,COURSE,4.9,3.0,1.0
847,University of Michigan,SPECIALIZATION,4.8,2.0,0.0
848,University of Minnesota,SPECIALIZATION,4.6,4.0,1.0
849,University of Michigan,COURSE,4.8,22.0,0.5
850,University of Michigan,COURSE,4.8,31.0,0.5
851,Google,COURSE,4.7,1.0,0.0
852,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,6.0,1.0
853,Atlassian,COURSE,4.8,4.0,0.5
854,University of Pennsylvania,COURSE,4.7,15.0,0.5
855,"Goldsmiths, University of London",SPECIALIZATION,4.7,3.0,0.0
856,"University of California, Irvine",SPECIALIZATION,4.3,2.0,0.0
857,University of Pennsylvania,COURSE,4.8,19.0,0.5
858,University of Michigan,SPECIALIZATION,4.8,12.0,1.0
859,University of Michigan,SPECIALIZATION,4.7,28.0,0.0
860,Emory University,COURSE,4.7,3.0,0.0
861,The Museum of Modern Art,COURSE,4.7,12.0,0.0
862,UCL Institute of Education,COURSE,4.7,3.0,0.5
863,University of Pennsylvania,COURSE,4.8,6.0,0.5
864,IBM,COURSE,4.7,26.0,0.0
865,Northwestern University,COURSE,4.6,9.0,0.5
866,"University of California, Davis",COURSE,4.7,3.0,0.0
867,University of Pennsylvania,COURSE,4.8,1.0,1.0
868,Michigan State University,COURSE,4.9,1.0,0.0
869,Georgia Institute of Technology,COURSE,4.7,27.0,0.5
870,Michigan State University,COURSE,4.4,1.0,0.0
871,Stanford University,COURSE,4.9,14.0,0.0
872,University of Illinois at Urbana-Champaign,COURSE,4.5,1.0,0.5
873,University of Toronto,SPECIALIZATION,3.9,7.0,1.0
874,IESE Business School,COURSE,4.7,2.0,0.0
875,École Polytechnique,COURSE,4.8,19.0,1.0
876,"University of California, Irvine",SPECIALIZATION,4.5,6.0,0.0
877,Saint Petersburg State University,SPECIALIZATION,4.6,1.0,0.0
878,E-Learning Development Fund,SPECIALIZATION,4.9,6.0,1.0
879,National Research University Higher School of Economics,SPECIALIZATION,4.5,1.0,0.0
880,E-Learning Development Fund,COURSE,4.8,6.0,0.0
881,E-Learning Development Fund,SPECIALIZATION,4.7,7.0,1.0
882,National Research University Higher School of Economics,SPECIALIZATION,4.5,1.0,1.0
883,National Research University Higher School of Economics,COURSE,4.6,8.0,0.0
884,E-Learning Development Fund,COURSE,4.9,4.0,1.0
885,Moscow Institute of Physics and Technology,COURSE,4.7,4.0,1.0
886,Mail.Ru Group,SPECIALIZATION,4.5,5.0,1.0
887,Saint Petersburg State University,COURSE,4.8,2.0,0.5
888,E-Learning Development Fund,SPECIALIZATION,4.5,3.0,1.0
889,Saint Petersburg State University,SPECIALIZATION,4.6,9.0,1.0
890,National Research University Higher School of Economics,SPECIALIZATION,4.7,3.0,0.0
